day,hr,rank,twitter_trend,hashtag,count (thousands)
10-Mar,10,1,#ThankYouNamjoon,yes,209.7
10-Mar,10,2,#TuesdayThoughts,yes,18.4
10-Mar,10,3,#LateLateNiall,yes,52.4
10-Mar,10,4,#CoreyFeldman,yes,Under 10
10-Mar,10,5,#MYTRUTHDOC,yes,Under 10
10-Mar,10,6,italy,no,710.9
10-Mar,10,7,Hannah Ann,no,58.3
10-Mar,10,8,Gobert,no,Under 10
10-Mar,10,9,Sydow,no,131.4
10-Mar,10,10,Happy Holi,no,296.6
10-Mar,10,11,CPAC,no,222.3
10-Mar,10,12,Norm,no,15.3
10-Mar,10,13,Peter,no,197
10-Mar,10,14,Strange Brew,no,Under 10
10-Mar,10,15,mccaw,no,Under 10
10-Mar,10,16,Barb,no,48.2
10-Mar,10,17,Utah,no,17.2
10-Mar,10,18,Gamestop,no,32.9
10-Mar,10,19,Pearl Jam,no,Under 10
10-Mar,10,20,#HowNotToGetArrested,yes,Under 10
10-Mar,10,21,#TheBachelor,yes,224.9
10-Mar,10,22,#COVID2019,yes,599.7
10-Mar,10,23,#InternationalWomensDay,yes,273.3
10-Mar,10,24,#IWD2020,yes,130.2
10-Mar,10,25,#CartoonsThatShouldReturn,yes,66.2
10-Mar,10,26,#coronavirus,yes,1600
10-Mar,10,27,#marketcrash,yes,141.3
10-Mar,10,28,#AddAComedianToAMovie,yes,Under 10
10-Mar,10,29,#NationalNappingDay,yes,28.5
10-Mar,10,30,#WeTheNorth,yes,Under 10
10-Mar,10,31,#CELLYSZN,yes,Under 10
10-Mar,10,32,#MondayMotivation,yes,75.5
10-Mar,10,33,#WWEChamber,yes,16.2
10-Mar,10,34,#911LoneStar,yes,19.3
10-Mar,10,35,#oilprice,yes,12.9
10-Mar,10,36,#MondayMorning,yes,31.6
10-Mar,10,37,#BlackMonday,yes,25.8
10-Mar,10,38,#TORvsUTA,yes,Under 10
10-Mar,10,39,#Warzone,yes,56.1
10-Mar,10,40,#KidQuotes,yes,Under 10
10-Mar,10,41,#DaylightSavingsTime,yes,Under 10
10-Mar,10,42,#Raptors,yes,Under 10
10-Mar,10,43,#stockmarketcrash,yes,Under 10
10-Mar,10,44,#MondayMood,yes,18.4
10-Mar,10,45,#BachelorFinale,yes,Under 10
10-Mar,10,46,#HappyBirthdayYoongi,yes,165.3
10-Mar,10,47,#fullmoon,yes,Under 10
10-Mar,10,48,#MondayThoughts,yes,41.2
10-Mar,10,49,#supermoon,yes,13.2
10-Mar,10,50,#Holi,yes,181.8
10-Mar,18,1,#MAR10Day,yes,39.7
10-Mar,18,2,#BernieSurge,yes,63.1
10-Mar,18,3,#TuesdayThoughts,yes,52.2
10-Mar,18,4,Warzone,no,133.3
10-Mar,18,5,Ollie,no,17.4
10-Mar,18,6,anne marie,no,Under 10
10-Mar,18,7,AR-14,no,42.3
10-Mar,18,8,#newcitiesglobalgoals,yes,Under 10
10-Mar,18,9,#MattGaetzIsAQuarantinedTool,yes,25.9
10-Mar,18,10,Chuck Norris,no,20.6
10-Mar,18,11,Ricky,no,27.3
10-Mar,18,12,Muskrat Falls,no,Under 10
10-Mar,18,13,Morgan Rielly,no,Under 10
10-Mar,18,14,Horizon Zero Dawn,no,11.2
10-Mar,18,15,Bob Rae,no,Under 10
10-Mar,18,16,Ivy League,no,Under 10
10-Mar,18,17,NFL 2K,no,22.3
10-Mar,18,18,Marleau,no,Under 10
10-Mar,18,19,Charlie Sheen,no,Under 10
10-Mar,18,20,2nd Amendment,no,12.8
10-Mar,18,21,Éric Salvail,no,Under 10
10-Mar,18,22,hedman,no,Under 10
10-Mar,18,23,Schlatter,no,Under 10
10-Mar,18,24,wheel of fortune,no,Under 10
10-Mar,18,25,Madden,no,19.3
10-Mar,18,26,SNC-Lavalin,no,Under 10
10-Mar,18,27,italy,no,776.8
10-Mar,18,28,Hannah Ann,no,66
10-Mar,18,29,#LearningLeadersNLESD,yes,Under 10
10-Mar,18,30,#LQvPZ,yes,15.5
10-Mar,18,31,#PEPsymposium2020,yes,Under 10
10-Mar,18,32,#OhYouDidNotJust,yes,Under 10
10-Mar,18,33,#TravelTuesday,yes,Under 10
10-Mar,18,34,#SARMAnnual2020,yes,Under 10
10-Mar,18,35,#tuesdayvibes,yes,Under 10
10-Mar,18,36,#DX32020,yes,Under 10
10-Mar,18,37,#TuesdayMorning,yes,15.6
10-Mar,18,38,#AMUN2020,yes,Under 10
10-Mar,18,39,#wearecyber,yes,Under 10
10-Mar,18,40,#PSPCdigital,yes,Under 10
10-Mar,18,41,#futureproven,yes,Under 10
10-Mar,18,42,#EducationWeek2020,yes,Under 10
10-Mar,18,43,#TheHuntMovie,yes,Under 10
10-Mar,18,44,#McGill24,yes,Under 10
10-Mar,18,45,#COVID2019,yes,567.2
10-Mar,18,46,#TheBachelor,yes,251.4
10-Mar,18,47,#coronavirus,yes,1700
10-Mar,18,48,#ThankYouNamjoon,yes,321.6
10-Mar,18,49,#InternationalWomensDay,yes,131.8
10-Mar,18,50,#CartoonsThatShouldReturn,yes,46.6
11-Mar,10,1,#OnMyBlockS3,yes,Under 10
11-Mar,10,2,#ByeByeBernie,yes,28.5
11-Mar,10,3,#LoseWithBiden,yes,57.8
11-Mar,10,4,#E32020,yes,Under 10
11-Mar,10,5,#SkyForTaehyung,yes,35.1
11-Mar,10,6,Hannah Ann,no,171.5
11-Mar,10,7,Barb,no,257.3
11-Mar,10,8,Madison,no,129.6
11-Mar,10,9,Michigan,no,580.6
11-Mar,10,10,Chris Harrison,no,20.9
11-Mar,10,11,Ollie,no,26.8
11-Mar,10,12,Andersen,no,Under 10
11-Mar,10,13,Olimpia,no,17.1
11-Mar,10,14,Kelley,no,22.3
11-Mar,10,15,Chuck Norris,no,31
11-Mar,10,16,Air Canada,no,Under 10
11-Mar,10,17,Happy Holi,no,158.6
11-Mar,10,18,Gobert,no,Under 10
11-Mar,10,19,Morgan Rielly,no,Under 10
11-Mar,10,20,Pearl Jam,no,Under 10
11-Mar,10,21,Bob Rae,no,Under 10
11-Mar,10,22,AR-14,no,108
11-Mar,10,23,William Nylander,no,Under 10
11-Mar,10,24,anne marie,no,Under 10
11-Mar,10,25,coachella,no,202.4
11-Mar,10,26,#TheBachelor,yes,630.3
11-Mar,10,27,#COVID19,yes,1000
11-Mar,10,28,#MAR10Day,yes,97.7
11-Mar,10,29,#Warzone,yes,62.4
11-Mar,10,30,#IMFC,yes,Under 10
11-Mar,10,31,#TuesdayThoughts,yes,66.1
11-Mar,10,32,#BernieSurge,yes,127
11-Mar,10,33,#DemExit,yes,86
11-Mar,10,34,#Budget2020,yes,24.4
11-Mar,10,35,#CloseTheSchools,yes,44
11-Mar,10,36,#MarioDay,yes,16
11-Mar,10,37,#TuesdayMotivation,yes,52.9
11-Mar,10,38,#BudgetQc,yes,Under 10
11-Mar,10,39,#ThankYouNamjoon,yes,132.7
11-Mar,10,40,#BidensCognitiveDecline,yes,101
11-Mar,10,41,#wearecyber,yes,Under 10
11-Mar,10,42,#Trumpdemic,yes,18.5
11-Mar,10,43,#1stHabsGoal,yes,Under 10
11-Mar,10,44,#AddAComedianToAMovie,yes,Under 10
11-Mar,10,45,#GoLeafsGo,yes,Under 10
11-Mar,10,46,#tuesdayvibes,yes,13.7
11-Mar,10,47,#ThisIsUs,yes,10.4
11-Mar,10,48,#CartoonsThatShouldReturn,yes,Under 10
11-Mar,10,49,#FlattenTheCurve,yes,25.7
11-Mar,10,50,#MattGaetzIsAQuarantinedTool,yes,46.4
11-Mar,18,1,Harvey Weinstein,no,212.9
11-Mar,18,2,#E32020,yes,21.1
11-Mar,18,3,The World Health Organization,no,33.4
11-Mar,18,4,Richard Marx,no,Under 10
11-Mar,18,5,#WednesdayWisdom,yes,63.9
11-Mar,18,6,#Pandumbic,yes,12.2
11-Mar,18,7,#FlattenTheCurve,yes,33
11-Mar,18,8,#TheView,yes,Under 10
11-Mar,18,9,Sudbury,no,Under 10
11-Mar,18,10,Flow,no,57.4
11-Mar,18,11,Happy Birthday Zoey,no,Under 10
11-Mar,18,12,Vanity Fair,no,24.5
11-Mar,18,13,Austria,no,24.7
11-Mar,18,14,nathan mackinnon,no,Under 10
11-Mar,18,15,Catch and Kill,no,Under 10
11-Mar,18,16,Noah Juulsen,no,Under 10
11-Mar,18,17,BTS WORLD DOMINATION,no,320
11-Mar,18,18,Dr. Fauci,no,44.5
11-Mar,18,19,Ottawa Public Health,no,Under 10
11-Mar,18,20,Ed Martin,no,Under 10
11-Mar,18,21,Laurentian,no,Under 10
11-Mar,18,22,audrey gagnon,no,Under 10
11-Mar,18,23,Angela Merkel,no,35.2
11-Mar,18,24,Gronk,no,Under 10
11-Mar,18,25,The Breakfast Club,no,Under 10
11-Mar,18,26,Election Day,no,26.5
11-Mar,18,27,italy,no,524.4
11-Mar,18,28,Hannah Ann,no,180
11-Mar,18,29,Biden,no,2800
11-Mar,18,30,#E3Cancelled,yes,Under 10
11-Mar,18,31,#WriteinBernie,yes,28.7
11-Mar,18,32,#RollUpTheRim,yes,Under 10
11-Mar,18,33,#C4CSummit,yes,Under 10
11-Mar,18,34,#McGill24,yes,Under 10
11-Mar,18,35,#startupchats,yes,Under 10
11-Mar,18,36,#WednesdayMotivation,yes,52.8
11-Mar,18,37,#TimesUp,yes,Under 10
11-Mar,18,38,#OnMyBlock,yes,12.4
11-Mar,18,39,#SocialDistancing,yes,Under 10
11-Mar,18,40,#CODVID19,yes,76.1
11-Mar,18,41,#CABHIinnovates,yes,Under 10
11-Mar,18,42,#budgetquebec,yes,Under 10
11-Mar,18,43,#prison,yes,Under 10
11-Mar,18,44,#HIOSummit20,yes,Under 10
11-Mar,18,45,#asklauv,yes,Under 10
11-Mar,18,46,#FreeTheDELETE,yes,Under 10
11-Mar,18,47,#Ask31,yes,Under 10
11-Mar,18,48,#DemExit2020,yes,14.2
11-Mar,18,49,#unfathomable,yes,Under 10
11-Mar,18,50,#TheBachelor,yes,663.2
12-Mar,10,1,#CoronavirusPandemic,yes,122.9
12-Mar,10,2,Vince Carter,no,80.3
12-Mar,10,3,CHET,no,19.3
12-Mar,10,4,Don Lemon,no,32
12-Mar,10,5,Mark Cuban,no,80.9
12-Mar,10,6,Schengen,no,16.6
12-Mar,10,7,Tom Hanks,no,835.2
12-Mar,10,8,COVID-19,no,2400
12-Mar,10,9,Rudy Gobert,no,534.4
12-Mar,10,10,Europe,no,788.6
12-Mar,10,11,italy,no,803.6
12-Mar,10,12,#CancelEverything,yes,98.5
12-Mar,10,13,The NBA,no,759.8
12-Mar,10,14,#TheBachelor,yes,134.9
12-Mar,10,15,#FlattenTheCurve,yes,50.2
12-Mar,10,16,#LIVATL,yes,215.1
12-Mar,10,17,Harvey Weinstein,no,362
12-Mar,10,18,Liverpool,no,864.6
12-Mar,10,19,Biden,no,1800
12-Mar,10,20,Barb,no,70.4
12-Mar,10,21,Adrián,no,189.8
12-Mar,10,22,the nhl,no,31.9
12-Mar,10,23,Warzone,no,101
12-Mar,10,24,March Madness,no,167.2
12-Mar,10,25,China,no,1200
12-Mar,10,26,Hannah Ann,no,36.7
12-Mar,10,27,Anfield,no,285.4
12-Mar,10,28,atletico,no,480.1
12-Mar,10,29,DPOY,no,36.3
12-Mar,10,30,Tom and Rita,no,10.1
12-Mar,10,31,On My Block,no,58.6
12-Mar,10,32,Jared,no,114.5
12-Mar,10,33,Peter,no,156.9
12-Mar,10,34,PDAC,no,Under 10
12-Mar,10,35,#CoronaVirusCanada,yes,Under 10
12-Mar,10,36,#TheMaskedSinger,yes,20.3
12-Mar,10,37,#WednesdayWisdom,yes,78.4
12-Mar,10,38,#OnMyBlock,yes,39.1
12-Mar,10,39,#RollUpTheRim,yes,Under 10
12-Mar,10,40,#McGill24,yes,Under 10
12-Mar,10,41,#wednesdaythoughts,yes,51.6
12-Mar,10,42,#Weinstein,yes,17
12-Mar,10,43,#C4CSummit,yes,Under 10
12-Mar,10,44,#E32020,yes,26.1
12-Mar,10,45,#SurvivorWinnersAtWar,yes,Under 10
12-Mar,10,46,#WPGvsEDM,yes,Under 10
12-Mar,10,47,#mcgillproud,yes,Under 10
12-Mar,10,48,#BoyWithLuv,yes,1400
12-Mar,10,49,#NinasMakeupCafe,yes,Under 10
12-Mar,10,50,#MeToo,yes,59.6
12-Mar,18,1,#COVID_19,yes,589.8
12-Mar,18,2,Sophie,no,40.3
12-Mar,18,3,#SocialDistancing,yes,16
12-Mar,18,4,Donovan Mitchell,no,198.6
12-Mar,18,5,Juno Awards,no,Under 10
12-Mar,18,6,#TrumptheWorstPresidentEVER,yes,31.6
12-Mar,18,7,#mavsbotb2020,yes,Under 10
12-Mar,18,8,#CANBillboardExplain,yes,Under 10
12-Mar,18,9,La LNH,no,Under 10
12-Mar,18,10,First Ministers,no,Under 10
12-Mar,18,11,Katie Porter,no,16.1
12-Mar,18,12,The Killers,no,Under 10
12-Mar,18,13,No NHL,no,Under 10
12-Mar,18,14,National Lacrosse League,no,Under 10
12-Mar,18,15,Valero Texas Open,no,Under 10
12-Mar,18,16,La MLS,no,Under 10
